0.355, 0.38 , 0.49 , 0.467
0.375, 0.405, 0.485, 0.433
0.355, 0.448, 0.465, 0.421
0.369, 0.447, 0.466, 0.473
0.374, 0.433, 0.468, 0.418
0.383, 0.421, 0.445, 0.459
0.405, 0.46 , 0.462, 0.485
0.438, 0.462, 0.47 , 0.499
0.402, 0.474, 0.462, 0.478
0.392, 0.445, 0.49 , 0.453
0.414, 0.412, 0.49 , 0.442
0.421, 0.424, 0.505, 0.409
0.424, 0.452, 0.533, 0.409
0.452, 0.444, 0.492, 0.424
0.463, 0.45 , 0.525, 0.419
0.407, 0.459, 0.555, 0.418
0.377, 0.462, 0.531, 0.365
0.365, 0.467, 0.538, 0.338
0.385, 0.461, 0.529, 0.303
0.344, 0.428, 0.534, 0.316
0.31 , 0.409, 0.507, 0.303
0.284, 0.424, 0.494, 0.273
0.267, 0.437, 0.512, 0.326
0.284, 0.427, 0.514, 0.311
0.263, 0.475, 0.509, 0.275
0.254, 0.497, 0.508, 0.28 
0.261, 0.534, 0.498, 0.267
0.297, 0.576, 0.493, 0.259
0.259, 0.571, 0.523, 0.325
0.266, 0.594, 0.49 , 0.345
0.253, 0.62 , 0.507, 0.355
0.269, 0.609, 0.534, 0.364
0.3  , 0.543, 0.534, 0.354
0.314, 0.584, 0.496, 0.362
0.327, 0.552, 0.453, 0.397
0.291, 0.548, 0.472, 0.412
0.284, 0.511, 0.487, 0.432
0.281, 0.503, 0.472, 0.412
0.282, 0.533, 0.469, 0.422
0.3  , 0.52 , 0.458, 0.387
0.305, 0.533, 0.495, 0.406
0.274, 0.49 , 0.51 , 0.438
0.261, 0.499, 0.481, 0.422
0.258, 0.501, 0.5  , 0.419
0.254, 0.526, 0.565, 0.401
0.287, 0.558, 0.574, 0.436
0.301, 0.558, 0.574, 0.401
0.278, 0.551, 0.545, 0.395
